Species,CommonName,BinomSig,DeltaSig30,DetectionRateDelta,BinomP,LinearityTest
Acanthamoeba comandoni,Amoeba,F,F,0.26,0.58499,NA
Acartia longiremis,Copepod,F,F,0.05,0.31876,NA
Aphanomyces astaci,THE CRAYFISH PLAGUE,T,F,-0.20,0.00531,T
Aureococcus anophagefferens,Diatom,T,T,0.49,0.00021,F
Bathycoccus prasinos,Picoplankton,F,F,0.27,0.04277,T
Chaetoceros socialis,Phytoplankton,T,F,0.16,0.41508,NA
Chrysochromulina sp. NIES-1333,Phytoplankton,F,F,0.05,0.3698,NA
Citharichthys sordidus,Pacific sanddab,T,F,-0.24,0.00428,T
Clupea pallasii,Pacific herring,F,F,-0.10,0.0645,NA
Clytia gregaria,Gregarious jellyfish,F,T,-0.34,0.00364,F
Cyphoderia ampulla,Ameboid,T,F,0.07,0.05854,NA
Hemiaulus sinensis,Diatom,F,F,-0.11,0.52787,NA
Heterosigma akishiwo,Algae,F,T,0.32,0.02209,F
Lithodesmium intricatum,Algae,F,T,0.35,0.00051,F
Microgadus proximus,Pacific tomcod,F,F,0.17,0.6111,NA
Paracalanus sp. C AC-2013,Copepod,NA,T,-0.31,0.00589,NA
Paramoeba branchiphila,Amoeba,F,F,0.16,0.1604,NA
Parvamoeba rugata,Amoeba,T,F,-0.03,0.22274,NA
Pennaria disticha,Christmas tree hydroid,F,T,-0.50,0.00071,F
Stephanopyxis turris,Diatom,F,T,-0.36,0.07044,NA
Thecamonas trahens,Protist,F,T,0.42,0.00617,F
Thermocyclops inversus,Copepod,T,T,-0.46,0.00061,T
Vannella sp.,Amoeba,T,F,0.17,0.06329,NA
Poterioochromonas stipitata,Zooplankton,F,T,-0.34,0.07782,NA
Pseudocalanus acuspes,Copepod,F,F,0.28,0.09581,NA
