"","source","date","year","temperature","DO","salinity","potential_density","pres","cond","sampleID"
"1","CTD",2021-06-08 21:52:10,"2021",7.62243076471182,3.65465626380957,33.5659388028658,26.2058737828181,NA,NA,"20210608T215210"
"2","CTD",2021-07-14 19:33:20,"2021",7.32585831483205,2.52781114862452,33.7554836273193,26.3967893918355,NA,NA,"20210714T193320"
"3","CTD",2021-08-27 15:31:42,"2021",7.65913638201627,2.28184912044699,33.5808091597124,26.2124311273748,NA,NA,"20210827T153142"
"4","CTD",2021-10-08 16:05:21,"2021",8.9316665649414,3.06254465237784,33.2213666280111,25.7390171051025,NA,NA,"20211008T160521"
"5","CTD",2022-05-24 19:28:29,"2022",7.60461107889811,4.04887071002377,33.4125883314345,26.0879408518473,NA,NA,"20220524T192829"
"6","CTD",2022-06-22 16:50:32,"2022",8.51207264986905,5.62075168986927,32.6994273445823,25.3942989002575,NA,NA,"20220622T165032"
"7","CTD",2022-07-20 23:45:51,"2022",7.49130912260576,3.38403399051341,33.589090867476,26.2427619587291,NA,NA,"20220720T234551"
"8","CTD",2022-08-22 17:54:56,"2022",7.70010913502086,2.92665345511501,33.3973995555531,26.062464280562,NA,NA,"20220822T175456"
"9","CTD",2022-09-20 18:44:09,"2022",7.90030002593994,1.44732157615754,33.4915913668546,26.1075002496893,NA,NA,"20220920T184409"
"10","CTD",2023-05-31 22:07:31,"2023",7.98034542257136,3.91050163493417,33.4812542308461,26.0877309279008,NA,NA,"20230531T220731"
"11","CTD",2023-06-16 22:02:56,"2023",8.07191822745583,3.912878997568,33.5144639448686,26.1004574515603,NA,NA,"20230616T220256"
"12","CTD",2023-07-19 17:30:03,"2023",8.02211099200779,3.99937854519977,33.6421445210775,26.2079891628689,NA,NA,"20230719T173003"
"13","CTD",2023-08-31 00:13:24,"2023",8.21310005187988,0.560408402537704,33.6792400360107,26.2088514328003,NA,NA,"20230831T001324"
"14","CTD",2023-09-29 19:15:23,"2023",13.9849544871937,7.92625772891695,31.9775544946844,23.8627284656871,NA,NA,"20230929T191523"
"15","Mooring",2021-06-08 22:10:27,"2021",7.4924,3.06539,33.5184,26.184,42.652,3.439487,NA
"16","Mooring",2021-06-08 22:20:26,"2021",7.495,3.0664,33.5155,26.1814,42.583,3.439451,NA
"17","Mooring",2021-06-08 22:30:27,"2021",7.497,3.07966,33.5135,26.1796,42.617,3.439451,NA
"18","Mooring",2021-06-08 22:40:27,"2021",7.4996,3.07822,33.5113,26.1774,42.558,3.439469,NA
"19","Mooring",2021-06-08 22:50:26,"2021",7.5009,3.07444,33.5112,26.1772,42.346,3.439564,NA
"20","Mooring",2021-06-08 23:00:27,"2021",7.5023,3.0738,33.5109,26.1767,42.157,3.43966,NA
"21","Mooring",2021-06-08 23:10:26,"2021",7.5032,3.07388,33.5119,26.1774,42.408,3.439845,NA
"22","Mooring",2021-06-08 23:20:27,"2021",7.512,3.08412,33.5066,26.172,42.491,3.440143,NA
"23","Mooring",2021-06-08 23:30:26,"2021",7.5124,3.08077,33.5074,26.1725,42.213,3.440232,NA
"24","Mooring",2021-06-08 23:40:27,"2021",7.5146,3.08356,33.507,26.1719,42.275,3.440399,NA
"25","Mooring",2021-06-08 23:50:26,"2021",7.5186,3.0853,33.5055,26.1702,42.226,3.440614,NA
"26","Mooring",2021-06-09 00:00:27,"2021",7.5257,3.09986,33.5015,26.166,42.165,3.440876,NA
"27","Mooring",2021-06-09 00:10:27,"2021",7.5308,3.10039,33.4987,26.1631,42.22,3.441073,NA
"28","Mooring",2021-06-09 00:20:26,"2021",7.5328,3.10596,33.4978,26.1621,42.037,3.441162,NA
"29","Mooring",2021-06-09 00:30:27,"2021",7.5367,3.11358,33.4956,26.1598,42.245,3.441323,NA
"30","Mooring",2021-06-09 00:40:26,"2021",7.544,3.13277,33.4912,26.1553,42.311,3.441562,NA
"31","Mooring",2021-06-09 00:50:27,"2021",7.5474,3.13529,33.4891,26.1532,42.102,3.441669,NA
"32","Mooring",2021-06-09 01:00:26,"2021",7.5477,3.13206,33.4899,26.1538,42.087,3.441764,NA
"33","Mooring",2021-06-09 01:10:27,"2021",7.5493,3.13222,33.4894,26.1532,41.998,3.44186,NA
"34","Mooring",2021-06-09 01:20:26,"2021",7.5553,3.13938,33.4869,26.1503,42.128,3.442164,NA
"35","Mooring",2021-06-09 01:30:27,"2021",7.5519,3.13301,33.4894,26.1528,42.363,3.44211,NA
"36","Mooring",2021-06-09 01:40:27,"2021",7.5506,3.12731,33.4901,26.1535,42.288,3.442045,NA
"37","Mooring",2021-06-09 01:50:26,"2021",7.5446,3.11506,33.4942,26.1576,42.461,3.441896,NA
"38","Mooring",2021-06-09 02:00:27,"2021",7.5387,NA,NA,NA,42.051,NA,NA
"39","Mooring",2021-06-09 02:10:26,"2021",7.5353,3.05876,33.4996,26.1631,42.358,3.441562,NA
"40","Mooring",2021-06-09 02:20:27,"2021",7.53,3.04768,33.5042,26.1676,42.367,3.441526,NA
"41","Mooring",2021-06-09 02:30:26,"2021",7.5289,3.04428,33.5054,26.1686,42.289,3.441532,NA
"42","Mooring",2021-06-09 02:40:27,"2021",7.5272,3.04529,33.5073,26.1704,42.393,3.441556,NA
"43","Mooring",2021-06-09 02:50:26,"2021",7.5224,3.02877,33.5116,26.1744,42.342,3.44152,NA
"44","Mooring",2021-06-09 03:00:27,"2021",7.5181,3.01212,33.5161,26.1786,42.649,3.441574,NA
"45","Mooring",2021-06-09 03:10:27,"2021",7.5158,3.00616,33.519,26.1812,42.475,3.441628,NA
"46","Mooring",2021-06-09 03:20:26,"2021",7.5129,2.99692,33.5226,26.1844,42.834,3.441717,NA
"47","Mooring",2021-06-09 03:30:27,"2021",7.5099,2.99935,33.5265,26.1879,42.68,3.441801,NA
"48","Mooring",2021-06-09 03:40:26,"2021",7.509,2.99676,33.528,26.1893,42.661,3.44186,NA
"49","Mooring",2021-06-09 03:50:27,"2021",7.5077,2.99197,33.5301,26.191,42.798,3.441938,NA
"50","Mooring",2021-06-09 04:00:26,"2021",7.5063,2.99231,33.5322,26.1929,42.735,3.44201,NA
"51","Mooring",2021-06-09 04:10:27,"2021",7.5049,2.98871,33.5345,26.1949,43.02,3.442105,NA
"52","Mooring",2021-06-09 04:20:26,"2021",7.5038,2.98268,33.5362,26.1964,42.979,3.442171,NA
"53","Mooring",2021-06-09 04:30:27,"2021",7.5024,2.98533,33.5384,26.1984,42.885,3.442242,NA
"54","Mooring",2021-06-09 04:40:27,"2021",7.5019,2.97933,33.5396,26.1994,43.056,3.44232,NA
"55","Mooring",2021-06-09 04:50:26,"2021",7.5016,2.97683,33.5405,26.2001,43.247,3.442374,NA
"56","Mooring",2021-06-09 05:00:27,"2021",7.5006,2.97279,33.542,26.2014,43.147,3.442427,NA
"57","Mooring",2021-06-09 05:10:26,"2021",7.4999,2.98153,33.5434,26.2027,43.222,3.442499,NA
"58","Mooring",2021-06-09 05:20:27,"2021",7.499,2.98193,33.5449,26.204,43.484,3.442565,NA
"59","Mooring",2021-06-09 05:30:26,"2021",7.4981,2.97266,33.5467,26.2055,43.356,3.442648,NA
"60","Mooring",2021-06-09 05:40:27,"2021",7.4978,2.97474,33.5474,26.2061,43.402,3.44269,NA
"61","Mooring",2021-06-09 05:50:26,"2021",7.4971,2.92421,33.5471,26.2059,43.434,3.442594,NA
"62","Mooring",2021-06-09 06:00:27,"2021",7.4963,2.96897,33.5499,26.2083,43.553,3.442785,NA
"63","Mooring",2021-06-09 06:10:27,"2021",7.496,2.96074,33.5508,26.209,43.627,3.442851,NA
"64","Mooring",2021-06-09 06:20:26,"2021",7.4946,2.9588,33.5531,26.211,43.617,3.442929,NA
"65","Mooring",2021-06-09 06:30:27,"2021",7.4928,2.96383,33.5557,26.2134,43.696,3.443018,NA
"66","Mooring",2021-06-09 06:40:26,"2021",7.49,2.96562,33.5591,26.2164,43.556,3.443078,NA
"67","Mooring",2021-06-09 06:50:27,"2021",7.4893,2.96422,33.56,26.2172,43.609,3.443096,NA
"68","Mooring",2021-06-09 07:00:26,"2021",7.4877,2.97243,33.5621,26.2191,43.711,3.443155,NA
"69","Mooring",2021-06-09 07:10:27,"2021",7.4866,2.97187,33.5632,26.2201,43.686,3.443155,NA
"70","Mooring",2021-06-09 07:20:26,"2021",7.4853,2.96901,33.5646,26.2214,43.582,3.443167,NA
"71","Mooring",2021-06-09 07:30:27,"2021",7.4857,2.96006,33.5643,26.2211,43.647,3.443179,NA
"72","Mooring",2021-06-09 07:40:27,"2021",7.4817,2.95219,33.57,26.2261,43.698,3.44334,NA
"73","Mooring",2021-06-09 07:50:26,"2021",7.4805,2.94352,33.5719,26.2278,43.521,3.443412,NA
"74","Mooring",2021-06-09 08:00:27,"2021",7.4792,2.93988,33.574,26.2296,43.608,3.443484,NA
"75","Mooring",2021-06-09 08:10:26,"2021",7.4802,2.94385,33.5721,26.228,43.468,3.443394,NA
"76","Mooring",2021-06-09 08:20:27,"2021",7.4796,2.94066,33.5724,26.2283,43.401,3.44337,NA
"77","Mooring",2021-06-09 08:30:26,"2021",7.4791,2.94649,33.5731,26.2289,43.43,3.443388,NA
"78","Mooring",2021-06-09 08:40:27,"2021",7.4781,2.93954,33.5746,26.2302,43.348,3.443436,NA
"79","Mooring",2021-06-09 08:50:26,"2021",7.479,2.94147,33.5736,26.2293,43.148,3.443412,NA
"80","Mooring",2021-06-09 09:00:27,"2021",7.4785,2.93981,33.574,26.2297,43.288,3.443406,NA
"81","Mooring",2021-06-09 09:10:27,"2021",7.4791,2.94578,33.5733,26.2291,43.092,3.443394,NA
"82","Mooring",2021-06-09 09:20:26,"2021",7.4808,2.94734,33.571,26.2271,42.902,3.443328,NA
"83","Mooring",2021-06-09 09:30:27,"2021",7.4822,2.95992,33.5692,26.2254,42.719,3.443274,NA
"84","Mooring",2021-06-09 09:40:26,"2021",7.4835,2.95866,33.568,26.2243,42.754,3.44328,NA
"85","Mooring",2021-06-09 09:50:27,"2021",7.4858,2.97125,33.5652,26.2218,42.678,3.443227,NA
"86","Mooring",2021-06-09 10:00:26,"2021",7.488,2.98209,33.5616,26.2186,42.638,3.443089,NA
"87","Mooring",2021-06-09 10:10:27,"2021",7.4886,2.98623,33.5609,26.218,42.312,3.443059,NA
"88","Mooring",2021-06-09 10:20:26,"2021",7.4898,2.98556,33.559,26.2163,42.25,3.442994,NA
"89","Mooring",2021-06-09 10:30:27,"2021",7.4911,2.99359,33.5559,26.2137,42.18,3.442821,NA
"90","Mooring",2021-06-09 10:40:27,"2021",7.4927,2.99837,33.5529,26.2111,42.055,3.442678,NA
"91","Mooring",2021-06-09 10:50:26,"2021",7.4946,3.0092,33.5492,26.2079,41.865,3.442499,NA
"92","Mooring",2021-06-09 11:00:27,"2021",7.4952,3.00799,33.5482,26.2071,41.906,3.442463,NA
"93","Mooring",2021-06-09 11:10:26,"2021",7.4979,3.01191,33.5449,26.2041,41.887,3.442397,NA
"94","Mooring",2021-06-09 11:20:27,"2021",7.4996,3.01201,33.5428,26.2022,41.649,3.442337,NA
"95","Mooring",2021-06-09 11:30:26,"2021",7.5027,3.01442,33.5393,26.199,41.554,3.44229,NA
"96","Mooring",2021-06-09 11:40:27,"2021",7.5054,3.02492,33.5367,26.1966,41.458,3.442284,NA
"97","Mooring",2021-06-09 11:50:26,"2021",7.5075,3.02277,33.5348,26.1948,41.516,3.442301,NA
"98","Mooring",2021-06-09 12:00:27,"2021",7.5114,3.03119,33.5321,26.1921,41.46,3.442397,NA
"99","Mooring",2021-06-09 12:10:27,"2021",7.5139,3.02353,33.5307,26.1906,41.563,3.442498,NA
"100","Mooring",2021-06-09 12:20:26,"2021",7.517,3.02901,33.529,26.1888,41.189,3.442593,NA
"101","Mooring",2021-06-09 12:30:27,"2021",7.5205,3.02993,33.5271,26.1869,41.201,3.442737,NA
"102","Mooring",2021-06-09 12:40:26,"2021",7.523,3.03381,33.5257,26.1854,41.19,3.442832,NA
"103","Mooring",2021-06-09 12:50:27,"2021",7.5247,3.029,33.5249,26.1846,41.025,3.442904,NA
"104","Mooring",2021-06-09 13:00:26,"2021",7.5285,3.008,33.5225,26.1821,41.046,3.443023,NA
