Species,Notes
Calanus marshallae,Northern copepods
Pseudocalanus mimus,Northern copepods
Acartia longiremis,Northern copepods
Acartia tonsa,Southern copepods
Calanus pacificus,Southern copepods
Calocalanus spp.,Southern copepods
Clausocalanus spp.,Southern copepods
Corycaeus anglicus,Southern copepods
Ctenocalanus vanus,Southern copepods
Mesocalanus tenuicornis,Southern copepods
Paracalanus spp.,Southern copepods
Euphausia gibboides,
Euphausia mutica,
Euphausia pacifica,
Euphausia recurva,
Nematoscelis difficilis,
Thysanoessa gregaria,
Thysanoessa inermis,
Thysanoessa inspinata,
Thysanoessa longipes,
Thysanoessa raschii,
Thysanoessa spinifera,
Thysanopoda acutifrons,
Nematobrachion boopis,
Nematobrachion flexipes,
Nematoscelis tenella,
Stylocheiron longicorne,
Stylocheiron maximum,
Tessarabrachion oculatum,
Thysanopoda orientalis,
Bentheuphausia amblyops,
Thysanopoda cornuta,
Thysanopoda egregia,
Euphausia nana,
Nematoscelis lobata,
Nyctiphanes simplex,
