"","Source","Date"
"1","Bottle_DNA",2021-08-25
"2","Bottle_DNA",2022-06-21
"3","Bottle_DNA",2022-08-22
"4","Bottle_DNA",2022-09-20
"5","Bottle_DNA",2021-10-08
"6","Bottle_DNA",2022-07-19
"7","Bottle_DNA",2023-06-15
"8","Bottle_DNA",2023-07-26
"9","PPS_DNA",2022-08-23
"10","PPS_DNA",2022-08-24 12:00:00
"11","PPS_DNA",2022-08-26
"12","PPS_DNA",2022-08-27 12:00:00
"13","PPS_DNA",2022-08-29
"14","PPS_DNA",2022-08-30 12:00:00
"15","PPS_DNA",2022-09-01
"16","PPS_DNA",2022-09-02 12:00:00
"17","PPS_DNA",2022-09-04
"18","PPS_DNA",2022-09-05 12:00:00
"19","PPS_DNA",2022-09-07
"20","PPS_DNA",2022-09-08 12:00:00
"21","PPS_DNA",2022-09-10
"22","PPS_DNA",2022-09-11 12:00:00
"23","PPS_DNA",2022-09-13
"24","PPS_DNA",2022-09-14 12:00:00
"25","PPS_DNA",2022-09-16
"26","PPS_DNA",2022-09-17 12:00:00
"27","PPS_DNA",2021-08-26
"28","PPS_DNA",2021-08-27 12:00:00
"29","PPS_DNA",2021-08-29
"30","PPS_DNA",2021-08-30 12:00:00
"31","PPS_DNA",2021-09-01
"32","PPS_DNA",2021-09-02 12:00:00
"33","PPS_DNA",2021-09-04
"34","PPS_DNA",2021-09-05 12:00:00
"35","PPS_DNA",2021-09-07
"36","PPS_DNA",2021-09-08 12:00:00
"37","PPS_DNA",2021-09-10
"38","PPS_DNA",2021-09-11 12:00:00
"39","PPS_DNA",2021-09-13
"40","PPS_DNA",2021-09-14 12:00:00
"41","PPS_DNA",2021-09-16
"42","PPS_DNA",2021-09-17 12:00:00
"43","PPS_DNA",2021-09-19
"44","PPS_DNA",2021-09-20 12:00:00
"45","PPS_DNA",2021-09-22
"46","PPS_DNA",2021-09-23 12:00:00
"47","PPS_DNA",2021-09-25
"48","PPS_DNA",2021-09-26 12:00:00
"49","PPS_DNA",2021-09-28
"50","PPS_DNA",2022-06-23
"51","PPS_DNA",2022-06-24 12:00:00
"52","PPS_DNA",2022-06-26
"53","PPS_DNA",2022-06-27 12:00:00
"54","PPS_DNA",2022-06-29
"55","PPS_DNA",2022-06-30 12:00:00
"56","PPS_DNA",2022-07-02
"57","PPS_DNA",2022-07-03 12:00:00
"58","PPS_DNA",2022-07-05
"59","PPS_DNA",2022-07-06 12:00:00
"60","PPS_DNA",2022-07-08
"61","PPS_DNA",2022-07-09 12:00:00
"62","PPS_DNA",2022-07-11
"63","PPS_DNA",2022-07-12 12:00:00
"64","PPS_DNA",2022-07-14
"65","PPS_DNA",2022-07-15 12:00:00
"66","PPS_DNA",2022-07-17
"67","PPS_DNA",2022-07-18 12:00:00
"68","PPS_DNA",2023-06-16
"69","PPS_DNA",2023-06-17 12:00:00
"70","PPS_DNA",2023-06-19
"71","PPS_DNA",2023-06-20 12:00:00
"72","PPS_DNA",2023-06-22
"73","PPS_DNA",2023-06-23 12:00:00
"74","PPS_DNA",2023-06-25
"75","PPS_DNA",2023-06-26 12:00:00
"76","PPS_DNA",2023-06-28
"77","PPS_DNA",2023-06-29 12:00:00
"78","PPS_DNA",2023-07-01
"79","PPS_DNA",2023-07-02 12:00:00
"80","PPS_DNA",2023-07-04
"81","PPS_DNA",2023-07-05 12:00:00
"82","PPS_DNA",2023-07-07
"83","PPS_DNA",2023-07-08 12:00:00
"84","PPS_DNA",2023-07-10
"85","PPS_DNA",2023-07-11 12:00:00
"86","PPS_DNA",2023-07-13
"87","PPS_DNA",2023-07-14 12:00:00
"88","PPS_DNA",2023-07-16
"89","PPS_DNA",2023-07-17 12:00:00
"90","PPS_DNA",2023-07-19
