Common Name,Taxon,Taxon Notes
Dungeness crab,Cancer magister,
Northern copepods,,
Phytoplankton,Pseudo-nitzschia sp.,"At least 7 species of Pseudo-nitzchia found to occur on the Washington Coast, including P. cuspidata (Olson et al 2006; Trick et al 2018)"
Pinto abalone,Haliotis kamtschatkana kamtschatkana,
Pinto abalone,Haliotis assimilis,
Pteropods,,
Pyrosomes,Pyrosoma sp.,
Pyrosomes,Pyrosomella sp.,
Sand lance,Family Ammodytidae,
Seaweed,Sargassum sp.,
Seaweed,Undaria sp.,
Sturgeon,Acipenseridae,
Zoanthids (deep sea),Acrozoanthus sp.,"Known zoanthid genera, more specification required."
Zoanthids (deep sea),Isaurus sp.,"Known zoanthid genera, more specification required."
Zoanthids (deep sea),Zoanthus sp.,"Known zoanthid genera, more specification required."
