FINAL Sample NAME,Cruise/ Expedition ID,Cruise/ Expedition ID,Collection Date (local),Rossete position,Sampling method,Preservation,Area within region,Depth (m),Altitude (m),"Latitude (D° M' S"")","Longitude           (D° M' S"")",Start time  (local),End time (local),Sample volume (ml),Temp (°C),pH,Salinity (ppt),Oxygen (µM)
E1032.OC0821,OC0821,OCNMS Aug 2021,8/25/2021,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Teahwhite Head,33.3,,47° 52.694' N,124° 44.139' W,09:48,9:56,1000,7.7,,33.5,2.7 mg/l
E1033.OC0821,OC0821,OCNMS Aug 2021,8/25/2021,3,Niskin; Sterivex 0.22µm filter,95% EtOH,Teahwhite Head,33.0,,47° 52.694' N,124° 44.139' W,09:48,9:56,1000,7.8,,33.5,2.8 mg/l
E1034.OC0821,OC0821,OCNMS Aug 2021,8/25/2021,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Teahwhite Head,33.0,,47° 52.694' N,124° 44.139' W,09:48,9:56,1000,7.8,,33.5,2.9 mg/l
E1172.OC0622,OC0622,OCNMS June 2022,6/21/2022,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Teahwhit Head,32.4,,47˚ 52.699' N,124˚ 44.187' W,13:28,13:43,1000,8.6,,32.4,5.57 mg/L
E1173.OC0622,OC0622,OCNMS June 2022,6/21/2022,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Teahwhit Head,32.2,,47˚ 52.699' N,124˚ 44.187' W,13:28,13:43,1000,8.6,,32.4,5.9 mg/L
E1174.OC0622,OC0622,OCNMS June 2022,6/21/2022,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Teahwhit Head,32.5,,47˚ 52.699' N,124˚ 44.187' W,13:28,13:43,1000,8.6,,32.4,5.93 mg/L
E1229.OC0822,OC0822,OCNMS August 2022,8/22/2022,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Teahwhit Head,32.8,,47°52.532' N,124°43.992' W,10:59,,1000,7.7,,33.3,4.14 mg/L
E1230.OC0822,OC0822,OCNMS August 2022,8/22/2022,3,Niskin; Sterivex 0.22µm filter,95% EtOH,Teahwhit Head,32.9,,47°52.532' N,124°43.992' W,10:59,,1000,7.7,,33.3,4.21 mg/L
E1231.OC0822,OC0822,OCNMS August 2022,8/22/2022,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Teahwhit Head,33.0,,47°52.532' N,124°43.992' W,10:59,,1000,7.7,,33.3,4.34 mg/L
E1240.OC0922,OC0922,OCNMS Sept 2022,8/23/2022,Port 1,PPS Unit; Programmed Sampling,95% EtOH,Teahwhit Head,34.0,8,47°52.467' N,124°44.070 W,0:00,00:17,1000,,,,
E1241.OC0922,OC0922,OCNMS Sept 2022,8/23/2022,Port 2,PPS Unit; Programmed Sampling,95% EtOH,Teahwhit Head,34.0,8,47°52.467' N,124°44.070 W,12:00,12:17,1000,,,,
E1242.OC0922,OC0922,OCNMS Sept 2022,8/24/2022,Port 3,PPS Unit; Programmed Sampling,95% EtOH,Teahwhit Head,34.0,8,47°52.467' N,124°44.070 W,0:00,00:17,1000,,,,
E1243.OC0922,OC0922,OCNMS Sept 2022,8/24/2022,Port 4,PPS Unit; Programmed Sampling,95% EtOH,Teahwhit Head,34.0,8,47°52.467' N,124°44.070 W,12:00,12:17,1000,,,,
E1244.OC0922,OC0922,OCNMS Sept 2022,8/25/2022,Port 5,PPS Unit; Programmed Sampling,95% EtOH,Teahwhit Head,34.0,8,47°52.467' N,124°44.070 W,0:00,00:17,1000,,,,
E1245.OC0922,OC0922,OCNMS Sept 2022,8/26/2022,Port 6,PPS Unit; Programmed Sampling,95% EtOH,Teahwhit Head,34.0,8,47°52.467' N,124°44.070 W,12:00,12:17,1000,,,,
E1246.OC0922,OC0922,OCNMS Sept 2022,8/28/2022,Port 7,PPS Unit; Programmed Sampling,95% EtOH,Teahwhit Head,34.0,8,47°52.467' N,124°44.070 W,0:00,00:17,1000,,,,
E1247.OC0922,OC0922,OCNMS Sept 2022,8/29/2022,Port 8,PPS Unit; Programmed Sampling,95% EtOH,Teahwhit Head,34.0,8,47°52.467' N,124°44.070 W,12:00,12:17,1000,,,,
E1248.OC0922,OC0922,OCNMS Sept 2022,8/31/2022,Port 9,PPS Unit; Programmed Sampling,95% EtOH,Teahwhit Head,34.0,8,47°52.467' N,124°44.070 W,0:00,00:17,1000,,,,
E1249.OC0922,OC0922,OCNMS Sept 2022,9/1/2022,Port 10,PPS Unit; Programmed Sampling,95% EtOH,Teahwhit Head,34.0,8,47°52.467' N,124°44.070 W,12:00,12:17,1000,,,,
E1250.OC0922,OC0922,OCNMS Sept 2022,9/3/2022,Port 11,PPS Unit; Programmed Sampling,95% EtOH,Teahwhit Head,34.0,8,47°52.467' N,124°44.070 W,0:00,00:17,1000,,,,
E1251.OC0922,OC0922,OCNMS Sept 2022,9/4/2022,Port 12,PPS Unit; Programmed Sampling,95% EtOH,Teahwhit Head,34.0,8,47°52.467' N,124°44.070 W,12:00,12:17,1000,,,,
E1252.OC0922,OC0922,OCNMS Sept 2022,9/6/2022,Port 13,PPS Unit; Programmed Sampling,95% EtOH,Teahwhit Head,34.0,8,47°52.467' N,124°44.070 W,0:00,00:17,1000,,,,
E1253.OC0922,OC0922,OCNMS Sept 2022,9/7/2022,Port 14,PPS Unit; Programmed Sampling,95% EtOH,Teahwhit Head,34.0,8,47°52.467' N,124°44.070 W,12:00,12:17,1000,,,,
E1254.OC0922,OC0922,OCNMS Sept 2022,9/9/2022,Port 15,PPS Unit; Programmed Sampling,95% EtOH,Teahwhit Head,34.0,8,47°52.467' N,124°44.070 W,0:00,00:17,1000,,,,
E1255.OC0922,OC0922,OCNMS Sept 2022,9/10/2022,Port 16,PPS Unit; Programmed Sampling,95% EtOH,Teahwhit Head,34.0,8,47°52.467' N,124°44.070 W,12:00,12:17,1000,,,,
E1256.OC0922,OC0922,OCNMS Sept 2022,9/12/2022,Port 17,PPS Unit; Programmed Sampling,95% EtOH,Teahwhit Head,34.0,8,47°52.467' N,124°44.070 W,0:00,00:17,1000,,,,
E1257.OC0922,OC0922,OCNMS Sept 2022,9/13/2022,Port 18,PPS Unit; Programmed Sampling,95% EtOH,Teahwhit Head,34.0,8,47°52.467' N,124°44.070 W,12:00,12:17,1000,,,,
E1258.OC0922,OC0922,OCNMS Sept 2022,9/15/2022,Port 19,PPS Unit; Programmed Sampling,95% EtOH,Teahwhit Head,34.0,8,47°52.467' N,124°44.070 W,0:00,00:17,1000,,,,
