FINAL Sample NAME,Sequential G3 Sample No.,Biological Replicate No. (if applicable),Technical Replicate No. (if applicable),Negative control,Cruise/ Expedition ID,Cruise/ Expedition ID,Collection Date (UTC),Collection Date (local),Field Sample Name,Dive No./ Station No./ Cast No.,Rosette position,Sampling method,Preservation,Region,Area within region,Additional Description Sampling Location,Depth (m),Altitude (m),"Latitude      (D° M' S"")","Longitude           (D° M' S"")",Latitude & Longitude (D.D°),Start time  (local),End time (local),Start time (UTC),End time (UTC),Sample volume (ml),Temp (°C),pH,Salinity (ppt),Oxygen (µM),Methane (nmol/L),Other chem,Other chem (units X),Personnel Responsible for Collecting Sample,Field Notes,Extracted,Elution Volume (µl),Extraction Yield (ng/µl),Extraction/PCR Notes,WS & BS Sample Location,Sent for Sequencing,Sequencing completed,Sequencing Notes
E1031.NC.OC0821,1031,,,TRUE,OC0821,OCNMS Aug 2021,,08/25/21,NC Start,-,,Sterivex 0.22µm filter,95% EtOH,,,,-,-,-,-,-,-,-,-,-,1000,-,,-,-,,,,Emily Norton and Shannon Brown,,FALSE,100,OCNMS_ExtractionSheet,,Lab -20˚C,FALSE,FALSE,
E1032.OC0821,1032,,,FALSE,OC0821,OCNMS Aug 2021,,08/25/21,TH042-01,TH042,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhite Head,,33.3,,47° 52.694' N,124° 44.139' W,,09:48,9:56,16:48,16:56,1000,7.7,,33.5,2.7 mg/l,,,,Emily Norton and Shannon Brown,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1033.OC0821,1033,,,FALSE,OC0821,OCNMS Aug 2021,,08/25/21,TH042-02,TH042,3,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhite Head,,33.0,,47° 52.694' N,124° 44.139' W,,09:48,9:56,16:48,16:56,1000,7.8,,33.5,2.8 mg/l,,,,Emily Norton and Shannon Brown,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1034.OC0821,1034,,,FALSE,OC0821,OCNMS Aug 2021,,08/25/21,TH042-03,TH042,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhite Head,,33.0,,47° 52.694' N,124° 44.139' W,,09:48,9:56,16:48,16:56,1000,7.8,,33.5,2.9 mg/l,,,,Emily Norton and Shannon Brown,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1035.OC0821,1035,,,FALSE,OC0821,OCNMS Aug 2021,,08/25/21,TH042-04,TH042,5,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhite Head,,32.9,,47° 52.694' N,124° 44.139' W,,09:48,9:56,16:48,16:56,1000,7.8,,33.5,3.0 mg/l,,,,Emily Norton and Shannon Brown,,FALSE,100,OCNMS_ExtractionSheet,,Lab -20˚C,FALSE,FALSE,
E1036.OC0821,1036,,,FALSE,OC0821,OCNMS Aug 2021,,08/25/21,TH042-05,TH042,7,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhite Head,,32.8,,47° 52.694' N,124° 44.139' W,,09:48,9:56,16:48,16:56,1000,7.9,,33.5,3.1 mg/l,,,,Emily Norton and Shannon Brown,Niskin failed leak test,FALSE,100,OCNMS_ExtractionSheet,,Lab -20˚C,FALSE,FALSE,
E1037.OC0821,1037,,,FALSE,OC0821,OCNMS Aug 2021,,08/25/21,TH042-06,TH042,8,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhite Head,,32.8,,47° 52.694' N,124° 44.139' W,,09:48,9:56,16:48,16:56,1000,7.9,,33.5,3.2 mg/l,,,,Emily Norton and Shannon Brown,Niskin failed leak test,FALSE,100,OCNMS_ExtractionSheet,,Lab -20˚C,FALSE,FALSE,
E1038.OC0821,1038,,,FALSE,OC0821,OCNMS Aug 2021,,08/25/21,TH042-07,TH042,9,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhite Head,,32.4,,47° 52.694' N,124° 44.139' W,,09:48,9:56,16:48,16:56,1000,8.0,,33.4,3.3 mg/l,,,,Emily Norton and Shannon Brown,Niskin failed leak test,FALSE,100,OCNMS_ExtractionSheet,,Lab -20˚C,FALSE,FALSE,
E1039.OC0821,1039,,,FALSE,OC0821,OCNMS Aug 2021,,08/25/21,TH042-08,TH042,10,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhite Head,,32.0,,47° 52.694' N,124° 44.139' W,,09:48,9:56,16:48,16:56,1000,8.0,,33.4,3.5 mg/l,,,,Emily Norton and Shannon Brown,,FALSE,100,OCNMS_ExtractionSheet,,Lab -20˚C,FALSE,FALSE,
E1040.OC0821,1040,,,FALSE,OC0821,OCNMS Aug 2021,,08/25/21,TH042-09,TH042,11,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhite Head,,31.2,,47° 52.694' N,124° 44.139' W,,09:48,9:56,16:48,16:56,1000,8.1,,33.4,3.6 mg/l,,,,Emily Norton and Shannon Brown,Bottom of Niskin not secure; leaked,FALSE,100,OCNMS_ExtractionSheet,,Lab -20˚C,FALSE,FALSE,
