carat,cut,color,depth,table,price,x,y,z
0.32,Premium,E,60.9,58,345,4.38,4.42,2.68
1.17,Very Good,J,60.2,61,2774,6.83,6.9,4.13
1.01,Premium,F,61.8,60,2781,6.39,6.36,3.94
1.01,Fair,E,64.5,58,2788,6.29,6.21,4.03
0.96,Ideal,F,60.7,55,2801,6.37,6.41,3.88
1.04,Premium,G,62.2,58,2801,6.46,6.41,4
1,Fair,G,66.4,59,2808,6.16,6.09,4.07
1.2,Fair,F,64.6,56,2809,6.73,6.66,4.33
0.43,Very Good,E,58.4,62,555,4.94,5,2.9
1.02,Premium,G,60.3,58,2815,6.55,6.5,3.94
1,Premium,H,61.3,60,2818,6.43,6.39,3.93
1.17,Premium,J,60.2,61,2825,6.9,6.83,4.13
0.96,Ideal,F,60.7,55,2826,6.41,6.37,3.88
0.97,Ideal,F,60.7,56,2830,6.41,6.43,3.9
1,Premium,F,58.9,60,2841,6.6,6.55,3.87
1.01,Ideal,I,61.5,57,2844,6.45,6.46,3.97
1.01,Good,I,63.1,57,2844,6.35,6.39,4.02
1.01,Good,H,64.2,61,2846,6.25,6.18,3.99
1.2,Very Good,H,63.1,60,2850,6.75,6.67,4.23
1.12,Premium,H,59.1,61,2854,6.78,6.75,4
0.97,Ideal,F,60.7,56,2856,6.43,6.41,3.9
1.22,Premium,E,60.9,57,2862,6.93,6.88,4.21
1.08,Premium,D,61.9,60,2869,6.55,6.48,4.03
1.04,Premium,I,61.6,61,2870,6.47,6.45,3.98
1.02,Ideal,I,61.7,56,2872,6.44,6.49,3.99
1.05,Premium,H,62,59,2881,6.5,6.47,4.02
1.19,Fair,H,65.1,59,2892,6.62,6.55,4.29
1.01,Very Good,I,63.1,57,2896,6.39,6.35,4.02
1.01,Ideal,I,61.5,57,2896,6.46,6.45,3.97
1.02,Ideal,I,61.7,56,2925,6.49,6.44,3.99
1.2,Premium,I,60.5,58,2925,6.9,6.79,4.14
1.17,Fair,I,65.4,62,2935,6.68,6.57,4.33
1.24,Very Good,J,61.9,55,2940,6.85,6.92,4.26
1,Good,H,57.6,61,2940,6.67,6.6,3.82
1.5,Fair,H,65.6,54,2964,7.26,7.09,4.7
1.05,Premium,E,61.4,58,2964,6.53,6.46,3.99
1.13,Fair,H,64.8,59,2968,6.52,6.42,4.19
1,Premium,G,62.5,62,2984,6.42,6.35,3.99
1.03,Very Good,G,63.2,58,2988,6.44,6.34,4.04
1.24,Premium,J,61.9,55,2994,6.92,6.85,4.26
1.02,Fair,H,61.5,60,2999,6.4,6.34,3.92
1,Very Good,G,62.5,62,3011,6.42,6.35,3.99
1.2,Fair,J,64.9,59,3011,6.61,6.54,4.27
1.2,Fair,I,62.2,66,3011,6.77,6.7,4.2
1.2,Fair,I,66.2,55,3011,6.61,6.51,4.34
1.01,Premium,G,61.1,61,3014,6.49,6.35,3.92
1.12,Premium,G,60.3,60,3017,6.75,6.69,4.05
1.12,Very Good,G,61.2,63,3017,6.68,6.59,4.05
1.03,Very Good,G,60.8,57,3018,6.51,6.55,3.97
1.01,Good,E,63.8,57,3032,6.4,6.33,4.06
1.02,Good,E,63.1,60,3051,6.31,6.4,4.01
1.03,Very Good,G,62.4,57,3060,6.41,6.45,4.01
1.03,Premium,G,60.8,57,3073,6.55,6.51,3.97
1,Very Good,E,62.3,58,3080,6.33,6.38,3.96
1,Ideal,H,61.3,57,3080,6.41,6.44,3.94
1.2,Premium,G,60.3,58,3091,6.82,6.77,4.1
1.29,Good,I,64.2,54,3098,6.93,6.83,4.42
1.52,Good,E,57.3,58,3105,7.53,7.42,4.28
1.52,Good,E,57.3,58,3105,7.53,7.42,4.28
1.01,Good,H,63.2,58,3110,6.33,6.39,4.02
1.08,Premium,H,61.7,59,3118,6.54,6.59,4.05
1.13,Good,G,63.4,58,3127,6.58,6.61,4.18
1,Premium,E,62.3,58,3136,6.38,6.33,3.96
1,Ideal,H,61.3,57,3136,6.44,6.41,3.94
1.02,Premium,H,62.5,60,3141,6.39,6.41,4
1.02,Very Good,E,60.6,63,3141,6.46,6.52,3.93
1.21,Good,E,57.2,62,3144,7.01,6.95,3.99
1.06,Premium,F,60.3,58,3158,6.59,6.56,3.96
1.01,Premium,H,58.1,59,3167,6.66,6.6,0
1.01,Very Good,H,63.2,58,3167,6.39,6.33,4.02
1.08,Ideal,F,61.8,56,3168,6.64,6.62,4.1
1.23,Ideal,H,61.6,55,3168,6.92,6.87,4.25
1.03,Ideal,H,61.5,57,3172,6.48,6.52,4
1.03,Premium,H,61.1,60,3172,6.46,6.51,3.96
1.5,Fair,H,69.3,61,3175,6.99,6.81,4.78
1.5,Good,G,57.4,62,3179,7.56,7.39,4.29
1.11,Premium,I,61.8,59,3183,6.65,6.58,4.09
1.02,Very Good,E,60.6,63,3199,6.52,6.46,3.93
1.02,Premium,H,62.5,60,3199,6.41,6.39,4
1.04,Good,H,63.9,58,3203,6.35,6.42,4.08
1.04,Very Good,H,61.6,61,3203,6.45,6.47,3.98
1.11,Premium,H,61,59,3205,6.61,6.67,4.05
1.18,Very Good,E,59.9,63,3219,6.8,6.85,4.09
1.03,Ideal,H,61.5,57,3230,6.52,6.48,4
1.05,Very Good,E,62.2,61,3234,6.48,6.51,4.04
1.04,Good,H,63.9,58,3261,6.42,6.35,4.08
1.04,Premium,H,61.6,61,3261,6.47,6.45,3.98
1.11,Premium,H,61,59,3263,6.67,6.61,4.05
1.25,Ideal,E,60.9,56,3276,6.95,6.91,4.22
1.18,Very Good,E,59.9,63,3278,6.85,6.8,4.09
1.01,Very Good,G,62.4,59,3288,6.35,6.41,3.98
1.05,Premium,E,62.2,61,3293,6.51,6.48,4.04
1,Very Good,E,63,57,3300,6.32,6.35,3.99
1.02,Ideal,G,61.5,56,3321,6.46,6.49,3.98
1.27,Ideal,I,62.3,56,3328,6.91,6.86,4.29
1,Premium,F,62.4,59,3344,6.34,6.38,3.97
1.01,Premium,G,59.4,61,3348,6.51,6.45,3.85
1.07,Good,F,64.3,59,3354,6.37,6.42,4.11
1.28,Ideal,H,61.9,56,3355,6.95,6.91,4.29
1,Ideal,E,63,57,3360,6.35,6.32,3.99
1.13,Ideal,F,61.2,56,3366,6.76,6.71,4.12
1.23,Premium,F,60.8,59,3375,6.96,6.91,4.22
1.01,Ideal,F,62.2,54,3377,6.42,6.44,4
1.02,Ideal,G,61.5,56,3382,6.49,6.46,3.98
1.01,Ideal,E,62,57,3388,6.37,6.41,3.96
1.01,Premium,E,59.8,58,3394,6.57,6.53,3.92
1,Premium,F,62.4,59,3405,6.38,6.34,3.97
1.07,Ideal,H,62.1,55,3412,6.55,6.59,4.08
1.07,Good,F,64.3,59,3415,6.42,6.37,4.11
1.21,Good,G,64,59,3415,6.78,6.73,4.32
1.01,Ideal,F,62.2,54,3439,6.44,6.42,4
1.03,Ideal,F,61.1,55,3444,6.51,6.54,3.99
1.03,Premium,F,62.3,59,3444,6.42,6.46,4.01
1.01,Ideal,E,62,57,3450,6.41,6.37,3.96
1.02,Very Good,E,60.4,62,3455,6.47,6.52,3.92
1.5,Premium,H,60.1,57,3457,7.4,7.28,4.42
1.02,Ideal,G,61.2,56,3459,6.47,6.5,3.97
1.13,Premium,H,62.7,59,3480,6.58,6.63,4.14
1.01,Good,E,61.5,65,3484,6.28,6.21,3.84
1.51,Good,G,64,59,3497,7.29,7.17,4.63
1.52,Fair,H,64.9,58,3504,7.18,7.13,4.65
1.2,Ideal,I,61.9,56,3505,6.82,6.85,4.23
1.03,Ideal,F,61.1,55,3507,6.54,6.51,3.99
1.19,Very Good,E,60.2,61,3508,6.87,6.91,4.15
1.15,Very Good,G,61.2,58,3510,6.74,6.8,4.14
1.02,Premium,E,60.4,62,3519,6.52,6.47,3.92
1,Ideal,E,61.8,56,3520,6.38,6.43,3.96
1.24,Premium,E,61.1,62,3528,6.91,6.86,4.21
1.52,Premium,I,61.2,58,3541,7.43,7.35,4.52
1.13,Ideal,F,62.2,55,3542,6.63,6.68,4.14
1.06,Ideal,F,62.1,55,3544,6.54,6.57,4.07
1.06,Ideal,F,61.8,55,3544,6.55,6.58,4.06
1.13,Premium,H,62.7,59,3544,6.63,6.58,4.14
1.07,Premium,G,62.3,60,3547,6.55,6.51,4.07
1.09,Ideal,G,61,56,3549,6.62,6.66,4.05
1.2,Ideal,I,61.9,56,3570,6.85,6.82,4.23
1.19,Premium,E,60.2,61,3572,6.91,6.87,4.15
1.15,Premium,G,61.2,58,3574,6.8,6.74,4.14
1,Premium,E,60.9,61,3584,6.41,6.37,3.89
1,Ideal,E,61.8,56,3584,6.43,6.38,3.96
1.11,Premium,D,61.9,58,3589,6.63,6.66,4.11
1.02,Ideal,F,61,56,3599,6.53,6.51,3.98
1.5,Premium,H,61.1,59,3599,7.37,7.26,4.47
1.13,Ideal,H,61.1,56,3603,6.71,6.77,4.12
1.15,Ideal,H,62,55,3606,6.76,6.69,4.17
1.13,Premium,F,62.3,56,3607,6.69,6.61,4.14
1.13,Ideal,F,62.2,55,3607,6.68,6.63,4.14
1.06,Ideal,F,62.1,55,3609,6.57,6.54,4.07
1.09,Ideal,G,61,56,3614,6.66,6.62,4.05
1.1,Ideal,F,61.3,56.9,3623,6.62,6.68,4.08
1.03,Ideal,F,61,56,3634,6.58,6.52,3.99
1.16,Premium,D,61.8,59,3644,6.74,6.78,4.18
1.11,Premium,D,61.9,58,3655,6.66,6.63,4.11
1.22,Very Good,H,61.6,56,3663,6.8,6.87,4.21
1.19,Ideal,H,61.5,57,3665,6.79,6.83,4.19
1.27,Very Good,I,60.2,62,3665,7,7.05,4.23
1.17,Premium,H,62.8,58,3669,6.71,6.69,4.21
1.13,Ideal,H,61.1,56,3669,6.77,6.71,4.12
1.13,Ideal,H,62.2,55,3678,6.65,6.69,4.15
1.1,Ideal,F,61.8,56,3678,6.61,6.65,4.1
1.1,Very Good,F,59.8,61,3678,6.65,6.7,3.99
1.21,Ideal,I,61.3,57,3686,6.94,6.89,4.24
1.1,Ideal,F,61.3,57,3690,6.68,6.62,4.08
1.23,Fair,E,67.4,56,3692,6.76,6.56,4.49
1.2,Very Good,H,58.6,57,3696,6.96,7.01,4.09
1.5,Good,I,63.7,61,3696,7.22,7.1,4.57
1.16,Premium,D,61.8,59,3711,6.78,6.74,4.18
1.04,Ideal,F,61.6,57,3718,6.51,6.46,4
1.25,Premium,F,58,59,3724,7.12,7.05,4.11
1.21,Good,E,63.3,63,3726,6.67,6.72,4.24
1.13,Ideal,E,62,55,3729,6.66,6.7,4.14
1.19,Ideal,H,61.5,57,3732,6.83,6.79,4.19
1.27,Premium,I,60.2,62,3732,7.05,7,4.23
1.51,Fair,F,67.8,59,3734,7.09,7,4.78
1.51,Fair,F,67.5,56,3734,7.17,7.05,4.8
1.13,Ideal,H,62.2,55,3745,6.69,6.65,4.15
1.1,Premium,F,59.8,61,3745,6.7,6.65,3.99
1.1,Ideal,F,61.8,56,3745,6.65,6.61,4.1
1.52,Fair,I,67.7,58,3745,7.07,7,4.76
1.13,Premium,G,61.2,58,3746,6.77,6.66,4.11
1.14,Ideal,F,61.7,57,3755,6.67,6.7,4.13
1.2,Ideal,H,58.6,57,3763,7.01,6.96,4.09
1.51,Fair,H,65.6,61,3765,7.16,7,4.66
1.02,Premium,D,61.4,60,3769,6.42,6.47,3.96
1.29,Very Good,F,58.2,61,3774,7.11,7.15,4.15
1.5,Premium,D,62.4,60,3780,7.37,7.19,4.54
1.19,Ideal,H,60.3,57,3794,6.83,6.93,4.15
1.21,Very Good,E,63.3,63,3795,6.72,6.67,4.24
1.13,Ideal,E,62,55,3797,6.7,6.66,4.14
1.18,Very Good,D,61.5,62,3816,6.73,6.88,4.19
1.52,Premium,G,61.7,58,3820,7.43,7.34,4.56
1.14,Ideal,F,61.7,57,3824,6.7,6.67,4.13
1.23,Very Good,H,61.9,60.6,3835,6.79,6.85,4.22
1.02,Premium,D,61.4,60,3838,6.47,6.42,3.96
1.19,Ideal,H,60.3,57,3864,6.93,6.83,4.15
1.5,Good,F,63.7,59,3864,7.29,7.18,4.62
1.2,Premium,E,62.3,60,3871,6.78,6.71,4.2
1.1,Ideal,E,61.9,56,3872,6.59,6.63,4.09
1.12,Ideal,G,60.3,57,3874,6.73,6.8,4.08
1.18,Ideal,D,61.5,62,3886,6.88,6.73,4.19
1.18,Very Good,E,62.5,58,3894,6.62,6.75,4.18
1.29,Premium,E,58.6,60,3901,7.18,7.12,4.19
1.23,Ideal,H,61.9,61,3905,6.85,6.79,4.22
1.39,Very Good,I,62.6,57,3914,7.1,7.15,4.46
1.02,Ideal,H,62.1,56,3915,6.4,6.45,3.99
1.12,Premium,E,61,59,3942,6.7,6.74,4.1
1.1,Ideal,E,61.9,56,3942,6.63,6.59,4.09
1.12,Ideal,G,60.3,57,3945,6.8,6.73,4.08
1.14,Premium,D,61.8,59,3950,6.62,6.74,4.13
1.18,Very Good,E,63.3,57,3965,6.7,6.64,4.22
1.18,Premium,E,62.5,58,3965,6.75,6.62,4.18
1.23,Good,D,63.7,58,3977,6.72,6.79,4.3
1.17,Premium,F,62.2,58,3984,6.76,6.72,4.19
1.39,Premium,I,62.6,57,3985,7.15,7.1,4.46
1.02,Ideal,H,62.1,56,3987,6.45,6.4,3.99
1.12,Premium,E,61,59,4014,6.74,6.7,4.1
1.14,Premium,D,61.8,59,4022,6.74,6.62,4.13
1.5,Premium,H,62.9,60,4022,7.31,7.22,4.57
1.5,Good,H,64,56,4022,7.18,7.05,4.56
1.23,Ideal,H,61.8,56,4025,6.85,6.91,4.25
1.5,Premium,E,61.5,58,4032,7.38,7.2,4.5
1.14,Very Good,F,61.3,55.8,4050,6.74,6.76,4.13
1.23,Good,D,63.7,58,4050,6.79,6.72,4.3
1.5,Premium,F,62.6,57,4096,7.33,7.21,4.55
1.23,Ideal,H,61.8,56,4098,6.91,6.85,4.25
1.14,Ideal,F,61.3,56,4124,6.76,6.74,4.13
1.12,Ideal,D,60.6,55,4139,6.73,6.76,4.09
1.32,Fair,H,65.8,55,4140,6.87,6.83,4.51
1.5,Premium,G,60.4,55,4140,7.4,7.32,4.45
1.5,Good,G,63.7,57,4140,7.28,7.21,4.62
1.41,Fair,H,64.7,58,4145,7.05,7,4.55
1.18,Ideal,E,61.6,56,4153,6.79,6.82,4.19
1.51,Fair,G,65.6,54,4167,7.28,7.1,4.72
1.21,Good,E,64,57,4201,6.73,6.67,4.29
1.12,Ideal,D,60.6,55,4215,6.76,6.73,4.09
1.18,Ideal,E,61.6,56,4229,6.82,6.79,4.19
1.29,Fair,G,66,58,4277,6.82,6.75,4.48
0.43,Premium,H,62,59,581,4.83,4.78,2.98
1.5,Fair,J,68.8,57,4284,6.94,6.87,4.75
1.45,Fair,F,64.8,67,4320,7.16,7,4.64
1.27,Good,F,59.2,64,4324,7.06,6.99,4.16
1.52,Premium,G,62.3,60,4345,7.34,7.28,4.56
1.2,Good,D,63.6,60,4346,6.72,6.67,4.26
1.5,Fair,I,71.3,58,4368,6.85,6.81,4.87
1.21,Ideal,F,62,56,4377,6.84,6.8,4.23
1.44,Premium,I,62.7,55,4387,7.21,7.18,4.51
0.5,Fair,F,69.8,55,584,4.89,4.8,3.38
1.51,Premium,H,60.9,56,4404,7.38,7.26,4.46
1.28,Ideal,G,61.6,57,4428,6.93,6.96,4.28
1.58,Premium,I,60.2,61,4459,7.55,7.51,4.53
1.54,Good,J,61.7,60,4492,7.26,7.32,4.5
1.36,Premium,G,62.1,57,4509,7.11,7.06,4.4
1.28,Ideal,G,61.6,57,4509,6.96,6.93,4.28
1.35,Ideal,G,62.5,57,4560,7.01,7.04,4.39
1.51,Very Good,J,63.3,57,4600,7.31,7.23,4.6
1.5,Good,I,62.6,63,4620,7.19,7.25,4.52
1.35,Ideal,G,62.5,57,4643,7.04,7.01,4.39
1.52,Fair,H,69.7,55,4648,6.92,6.89,4.81
1.52,Fair,H,65.4,62,4648,7.1,7.02,4.62
1.74,Very Good,H,63.2,55,4677,7.62,7.59,4.8
1.33,Fair,F,62,56,4698,7.05,7.01,4.36
1.5,Fair,I,66.1,57,4704,7.12,7.04,4.68
1.5,Fair,I,69.7,56,4704,6.94,6.9,4.82
0.34,Ideal,D,62.5,57,413,4.47,4.49,2.8
0.34,Ideal,D,61.4,55,413,4.5,4.52,2.77
1.5,Good,G,64,61,4731,7.15,7.04,0
1.64,Fair,G,64.5,60,4849,7.44,7.35,4.76
1.47,Fair,H,66.7,59,4898,6.98,6.94,4.64
1.5,Fair,H,65.7,58,4939,7.07,7.02,4.63
1.5,Fair,H,66.6,54,4939,7.05,7.01,4.68
1.55,Good,G,63.6,58,4965,7.34,7.29,4.65
1.54,Premium,H,62,60,4980,7.32,7.4,4.56
1.5,Good,E,62.4,64,4989,7.22,7.26,4.52
1.32,Premium,E,62.2,58,5027,7.05,6.97,4.36
1.5,Fair,I,65.1,59,5040,7.12,6.96,4.58
1.95,Premium,H,60.3,59,5045,8.1,8.05,4.87
2,Premium,J,61.5,59,5051,8.11,8.06,4.97
1.29,Ideal,D,61.3,56,5065,6.99,7.05,4.3
1.44,Very Good,E,61.1,62,5068,7.15,7.23,4.39
1.54,Premium,H,62,60,5071,7.4,7.32,4.56
1.51,Fair,I,65.7,61,5074,7.08,7.02,4.63
1.83,Fair,J,70,58,5083,7.34,7.28,5.12
1.5,Very Good,J,63.3,58,5141,7.27,7.23,4.59
1.29,Ideal,D,61.3,56,5158,7.05,6.99,4.3
1.44,Premium,E,61.1,62,5161,7.23,7.15,4.39
1.57,Ideal,H,62.8,56,5170,7.42,7.36,4.64
1.69,Very Good,J,60.2,61,5182,7.7,7.79,4.66
2.06,Premium,J,61.2,58,5203,8.1,8.07,4.95
1.72,Fair,J,68.5,59,5240,7.31,7.24,4.98
1.69,Premium,J,60.2,61,5277,7.79,7.7,4.66
1.5,Fair,H,68.9,56,5292,7,6.9,4.79
1.5,Good,F,60.6,62,5313,7.22,7.24,4.38
2.14,Fair,J,69.4,57,5405,7.74,7.7,5.36
0.41,Good,G,63.8,56,600,4.74,4.7,3.01
1.5,Premium,F,60.6,62,5410,7.24,7.22,4.38
1.5,Ideal,I,61.8,57,5412,7.31,7.39,4.54
2.15,Fair,J,65.5,57,5430,8.01,7.95,5.23
1.5,Fair,D,64.7,62,5460,7.19,7.04,4.6
1.5,Ideal,I,61.8,57,5510,7.39,7.31,4.54
1.96,Fair,F,66.6,60,5554,7.59,7.56,5.04
1.5,Ideal,I,61.3,57,5593,7.36,7.39,4.52
1.51,Good,E,57.5,59,5601,7.56,7.51,4.33
2.22,Fair,J,66.7,56,5607,8.04,8.02,5.36
1.7,Fair,D,64.7,56,5617,7.46,7.37,4.8
1.5,Fair,H,65.5,58,5645,7.02,6.96,4.58
1.51,Good,E,63.6,60,5647,7.3,7.26,4.63
2,Fair,I,66,60,5667,7.78,7.74,5.1
1.85,Very Good,H,63.3,56,5688,7.8,7.75,4.92
1.5,Ideal,I,61.3,57,5695,7.39,7.36,4.52
2.01,Fair,I,67.4,58,5696,7.71,7.64,5.17
2.01,Fair,I,55.9,64,5696,8.48,8.39,4.71
2.27,Fair,J,67.6,55,5733,8.05,8,5.43
1.51,Fair,I,65.1,57,5750,7.16,7.12,4.65
1.68,Good,E,64.3,60,5765,7.44,7.48,4.8
1.5,Very Good,G,60.3,61,5808,7.34,7.39,4.44
1.81,Fair,J,68,57,5859,7.43,7.39,5.04
1.68,Good,E,64.3,60,5871,7.48,7.44,4.8
2,Fair,H,69.8,54,5914,7.6,7.56,5.29
1.5,Premium,G,60.3,61,5914,7.39,7.34,4.44
1.55,Very Good,E,61.6,58,5974,7.42,7.52,4.6
1.51,Good,D,57,64,5979,7.48,7.53,4.28
1.44,Good,G,63.2,54.8,5987,7.18,7.21,4.54
1.82,Fair,H,67.3,58,5993,7.5,7.47,5.04
1.7,Very Good,F,63.1,56,5998,7.62,7.51,4.78
2.03,Fair,H,64.4,59,6002,7.91,7.85,5.07
2.03,Fair,H,66.6,57,6002,7.81,7.75,5.19
1.66,Good,F,62.1,57.7,6025,7.56,7.6,4.71
1.5,Very Good,F,63.2,57,6028,7.29,7.24,4.59
1.51,Premium,H,61.9,58,6038,7.39,7.34,4.56
1.49,Very Good,F,62.6,53.6,6064,7.28,7.31,4.57
