carat,cut,color,depth,table,price,x,y,z
0.52,Ideal,F,62.2,55,2783,5.14,5.18,3.21
0.55,Ideal,G,60.9,57,2789,5.28,5.3,3.22
0.64,Ideal,G,61.3,56,2790,5.54,5.58,3.41
0.72,Premium,I,63,57,2795,5.72,5.7,3.6
0.6,Very Good,G,61.6,56,2800,5.43,5.46,3.35
0.61,Ideal,G,62.3,56,2800,5.43,5.45,3.39
0.53,Ideal,F,61.9,54,2802,5.22,5.25,3.24
0.56,Very Good,E,61,59,2833,5.28,5.34,3.24
0.58,Very Good,E,60.6,59,2852,5.37,5.43,3.27
0.62,Fair,F,60.1,61,2861,5.53,5.56,3.33
0.62,Ideal,G,60.5,57,2868,5.52,5.56,3.35
0.62,Ideal,G,61.8,56,2869,5.43,5.47,3.37
0.63,Premium,E,60.3,62,2879,5.55,5.53,3.34
0.7,Very Good,H,62.8,56,2882,5.62,5.65,3.54
0.51,Very Good,E,63.3,58,2925,5.03,5.08,3.2
0.71,Ideal,I,61.5,56,2925,5.74,5.77,3.54
0.74,Ideal,I,62.1,53.9,2952,5.79,5.81,3.6
0.64,Ideal,G,61.7,58,2960,5.52,5.56,3.42
0.24,Ideal,G,61.7,56,559,3.99,4.01,2.47
0.24,Ideal,G,60.8,58,559,4.01,4.05,2.44
0.24,Ideal,G,61.8,55,559,3.99,4.02,2.47
0.24,Ideal,G,61.6,57,559,3.99,4.02,2.46
0.24,Ideal,G,61.3,57,559,4,4.03,2.46
0.25,Very Good,F,61.5,56,560,4.04,4.06,2.48
0.27,Very Good,F,60.4,58,560,4.18,4.2,2.53
0.57,Ideal,F,61.8,54,2974,5.33,5.35,3.3
0.64,Good,F,58.6,61,2980,5.69,5.71,3.34
0.6,Very Good,F,60.1,54,2988,5.5,5.58,3.33
0.76,Ideal,I,61.6,55,2988,5.92,5.89,3.64
0.52,Ideal,E,61.1,57,3033,5.17,5.21,3.17
0.72,Premium,H,58.7,59,3048,5.94,5.88,3.47
0.66,Very Good,G,60.5,59,3051,5.69,5.74,3.46
0.65,Ideal,H,61.5,55,3065,5.6,5.62,3.45
0.71,Very Good,H,63,57,3112,5.63,5.7,3.57
0.68,Very Good,G,62.7,56,3143,5.56,5.6,3.5
0.71,Ideal,H,61.2,56,3146,5.74,5.79,3.53
0.7,Ideal,H,62.2,55,3167,5.68,5.71,3.54
0.72,Premium,G,60.1,58,3185,5.89,5.86,3.53
0.71,Ideal,H,62,54,3190,5.71,5.75,3.55
0.71,Fair,F,58.7,62,3205,5.87,5.81,3.43
0.82,Premium,I,61.2,60,3224,6.03,5.99,3.68
0.71,Ideal,H,62.2,57,3234,5.7,5.74,3.56
