carat,cut,color,depth,table,price,x,y,z
0.23,Ideal,E,61.5,55,326,3.95,3.98,2.43
0.31,Good,J,63.3,58,335,4.34,4.35,2.75
0.31,Ideal,J,62.2,54,344,4.35,4.37,2.71
0.2,Premium,E,60.2,62,345,3.79,3.75,2.27
0.3,Ideal,I,62,54,348,4.31,4.34,2.68
0.3,Good,I,63.3,56,351,4.26,4.3,2.71
0.33,Ideal,I,61.8,55,403,4.49,4.51,2.78
0.33,Ideal,I,61.2,56,403,4.49,4.5,2.75
0.32,Good,H,63.1,56,403,4.34,4.37,2.75
0.32,Very Good,H,61.8,55,403,4.35,4.42,2.71
0.32,Good,H,63.8,56,403,4.36,4.38,2.79
0.29,Very Good,H,60.7,60,404,4.33,4.37,2.64
0.3,Ideal,I,61,59,405,4.3,4.33,2.63
0.3,Premium,J,59.3,61,405,4.43,4.38,2.61
0.42,Premium,I,61.5,59,552,4.78,4.84,2.96
0.38,Ideal,I,61.6,56,554,4.65,4.67,2.87
0.86,Fair,E,55.1,69,2757,6.45,6.33,3.52
0.78,Very Good,G,63.8,56,2759,5.81,5.85,3.72
0.96,Fair,F,66.3,62,2759,6.27,5.95,4.07
0.81,Ideal,F,58.8,57,2761,6.14,6.11,3.6
0.8,Ideal,F,61.4,57,2761,5.96,6,3.67
0.74,Ideal,E,62.2,56,2761,5.8,5.84,3.62
0.8,Premium,F,61.7,58,2762,5.98,5.94,3.68
0.8,Ideal,F,59.9,59,2762,6.01,6.07,3.62
0.71,Ideal,D,62.3,56,2762,5.73,5.69,3.56
0.91,Fair,H,64.4,57,2763,6.11,6.09,3.93
0.91,Fair,H,65.7,60,2763,6.03,5.99,3.95
0.71,Ideal,D,61.6,55,2767,5.74,5.76,3.54
0.71,Premium,D,61.7,59,2768,5.71,5.67,3.51
0.76,Ideal,D,62.4,57,2770,5.78,5.83,3.62
0.73,Ideal,D,59.9,57,2770,5.92,5.89,3.54
0.79,Ideal,F,61.9,55,2771,5.97,5.92,3.68
0.8,Very Good,F,61,57,2772,6.01,6.03,3.67
0.75,Ideal,D,61.3,56,2773,5.85,5.89,3.6
0.98,Fair,H,67.9,60,2777,6.05,5.97,4.08
0.75,Very Good,D,63.1,58,2782,5.78,5.73,3.63
1.01,Premium,H,62.7,59,2788,6.31,6.22,3.93
1.05,Very Good,J,63.2,56,2789,6.49,6.45,4.09
0.81,Ideal,G,61.6,56,2789,5.97,6.01,3.69
0.81,Good,G,61,61,2789,5.94,5.99,3.64
1.05,Fair,J,65.8,59,2789,6.41,6.27,4.18
0.83,Ideal,F,62.3,55,2790,6.02,6.05,3.76
0.81,Ideal,F,62.6,55,2795,5.92,5.96,3.72
0.72,Premium,D,62,60,2795,5.73,5.69,3.54
1,Premium,I,58.2,60,2795,6.61,6.55,3.83
0.81,Very Good,H,61.3,59,2797,5.94,6.01,3.66
0.8,Premium,F,61,57,2797,6.03,6.01,3.67
1.01,Fair,E,67.4,60,2797,6.19,6.05,4.13
0.83,Very Good,E,58,62,2799,6.19,6.25,3.61
0.82,Ideal,F,62.4,54,2799,5.97,6.02,3.74
0.9,Good,I,62.2,59,2800,6.07,6.11,3.79
0.9,Very Good,I,61.3,56,2800,6.17,6.23,3.8
1,Premium,J,62.3,58,2801,6.45,6.34,3.98
0.87,Very Good,G,59.9,58,2802,6.19,6.23,3.72
0.91,Ideal,D,62.2,57,2803,6.21,6.15,3.85
0.8,Very Good,E,62.5,56,2804,5.88,5.96,3.7
0.73,Ideal,E,61.8,58,2805,5.77,5.81,3.58
0.93,Premium,J,61.9,57,2807,6.21,6.19,3.84
0.81,Premium,D,59.2,57,2809,6.15,6.05,3.61
0.74,Ideal,D,61.7,55,2810,5.81,5.85,3.6
0.99,Fair,I,68.1,56,2811,6.21,6.06,4.18
0.33,Ideal,H,61.4,56,554,4.85,4.79,2.95
0.91,Premium,G,59.8,58,2813,6.3,6.29,3.77
0.76,Very Good,F,58.5,62,2815,5.93,6.01,3.49
0.95,Fair,F,56,60,2815,6.62,6.53,3.68
0.89,Premium,H,60.2,59,2815,6.26,6.23,3.76
0.96,Fair,E,53.1,63,2815,6.73,6.65,3.55
0.87,Ideal,H,62.7,56,2816,6.16,6.13,3.85
0.86,Premium,F,59.3,62,2818,6.36,6.22,3.73
1,Fair,H,65.3,62,2818,6.34,6.12,4.08
0.86,Good,F,64.3,60,2819,5.97,5.95,3.83
0.79,Very Good,D,62.8,59,2823,5.86,5.9,3.69
0.9,Fair,H,65.8,54,2823,6.05,5.98,3.96
0.82,Ideal,F,62.4,54,2824,6.02,5.97,3.74
0.82,Premium,E,60.8,60,2824,6.05,6.03,3.67
0.91,Fair,H,61.3,67,2825,6.24,6.19,3.81
0.9,Premium,I,62.2,59,2826,6.11,6.07,3.79
0.9,Very Good,I,63.5,56,2826,6.17,6.07,3.88
0.7,Ideal,D,60.6,57,2828,5.74,5.77,3.49
1.01,Premium,H,61.6,61,2828,6.39,6.31,3.91
0.8,Good,E,63.7,54,2829,5.91,5.87,3.75
0.75,Premium,E,61.9,57,2829,5.88,5.82,3.62
0.8,Premium,E,60.2,57,2829,6.05,6.01,3.63
