carat,cut,color,depth,table,price,x,y,z
0.23,Good,E,56.9,65,327,4.05,4.07,2.31
0.23,Very Good,H,59.4,61,338,4,4.05,2.39
0.23,Ideal,J,62.8,56,340,3.93,3.9,2.46
0.23,Very Good,H,61,57,353,3.94,3.96,2.41
0.24,Premium,I,62.5,57,355,3.97,3.94,2.47
0.23,Very Good,F,60.9,57,357,3.96,3.99,2.42
0.23,Very Good,F,60,57,402,4,4.03,2.41
0.23,Very Good,F,59.8,57,402,4.04,4.06,2.42
0.23,Very Good,E,60.7,59,402,3.97,4.01,2.42
0.23,Very Good,E,59.5,58,402,4.01,4.06,2.4
0.23,Very Good,D,61.9,58,402,3.92,3.96,2.44
0.23,Good,F,58.2,59,402,4.06,4.08,2.37
0.23,Good,E,64.1,59,402,3.83,3.85,2.46
0.26,Good,D,58.4,63,403,4.19,4.24,2.46
0.23,Ideal,G,61.9,54,404,3.93,3.95,2.44
0.35,Ideal,I,60.9,57,552,4.54,4.59,2.78
0.7,Good,F,59.4,62,2759,5.71,5.76,3.4
0.8,Ideal,I,62.9,56,2760,5.94,5.87,3.72
0.77,Very Good,H,61.3,60,2765,5.88,5.9,3.61
0.71,Very Good,F,60.1,62,2765,5.74,5.77,3.46
0.71,Premium,F,61.8,59,2765,5.69,5.73,3.53
0.7,Very Good,F,60,57,2767,5.8,5.87,3.5
0.71,Very Good,G,63.3,59,2768,5.52,5.61,3.52
0.73,Premium,G,61.5,58,2770,5.79,5.75,3.55
0.6,Ideal,E,61.7,55,2774,5.41,5.44,3.35
0.7,Very Good,D,62.7,58,2777,5.66,5.73,3.57
0.74,Ideal,G,61.5,55,2780,5.81,5.86,3.59
0.7,Ideal,G,61.4,59,2780,5.64,5.73,3.49
0.72,Very Good,H,60.6,63,2782,5.83,5.76,3.51
0.7,Good,E,57.2,62,2782,5.81,5.77,3.31
0.7,Premium,E,62.9,60,2782,5.62,5.54,3.51
0.79,Very Good,H,63.7,56,2784,5.85,5.92,3.75
0.64,Ideal,D,61.5,56,2787,5.54,5.55,3.41
0.83,Very Good,I,61.1,60,2788,6.07,6.1,3.72
0.77,Good,G,59.4,64,2788,5.97,5.92,3.53
0.77,Premium,H,61.3,60,2789,5.9,5.88,3.61
0.71,Premium,F,60.1,62,2790,5.77,5.74,3.46
0.71,Premium,F,61.8,59,2790,5.73,5.69,3.53
0.7,Premium,F,62.1,60,2792,5.71,5.65,3.53
0.7,Premium,F,60.7,60,2792,5.78,5.75,3.5
0.7,Ideal,F,62.2,56,2792,5.73,5.68,3.55
0.72,Good,F,60.7,60,2795,5.74,5.72,3.48
0.74,Ideal,H,61.8,58,2797,5.77,5.81,3.58
0.74,Ideal,H,61.6,56,2797,5.81,5.82,3.58
0.77,Ideal,I,61.5,59,2798,5.87,5.91,3.62
0.7,Premium,E,62.2,58,2800,5.6,5.66,3.5
0.74,Premium,G,62.9,60,2800,5.74,5.68,3.59
0.79,Ideal,I,61.8,59,2800,5.92,5.95,3.67
0.76,Fair,G,59,70,2800,5.89,5.8,3.46
0.72,Premium,F,62.4,58,2802,5.83,5.7,3.6
0.7,Good,G,65.1,58,2803,5.56,5.59,3.63
0.71,Premium,G,62.4,61,2803,5.7,5.65,3.54
0.71,Very Good,G,63.5,55,2803,5.66,5.64,3.59
