carat,cut,color,depth,table,price,x,y,z
0.24,Very Good,J,62.8,57,336,3.94,3.96,2.48
0.23,Very Good,G,60.4,58,354,3.97,4.01,2.41
0.28,Ideal,G,61.4,56,553,4.19,4.22,2.58
0.26,Very Good,F,59.2,60,554,4.19,4.22,2.49
0.26,Very Good,E,59.9,58,554,4.15,4.23,2.51
0.26,Very Good,D,62.4,54,554,4.08,4.13,2.56
0.26,Very Good,D,62.8,60,554,4.01,4.05,2.53
0.26,Ideal,E,62.9,58,554,4.02,4.06,2.54
0.24,Premium,H,60.7,58,554,4.07,4.04,2.46
0.74,Ideal,I,62.3,55,2761,5.77,5.81,3.61
0.59,Ideal,E,62,55,2761,5.38,5.43,3.35
0.61,Very Good,D,59.6,57,2763,5.56,5.58,3.32
0.7,Good,H,62.1,64,2767,5.62,5.65,3.5
0.72,Very Good,H,60.3,56,2771,5.81,5.83,3.51
0.54,Ideal,E,61.6,56,2776,5.25,5.27,3.24
0.54,Ideal,E,61.5,57,2776,5.24,5.26,3.23
0.53,Very Good,D,57.5,64,2782,5.34,5.37,3.08
0.76,Ideal,I,61.8,56,2788,5.85,5.87,3.62
0.63,Premium,E,62.1,57,2789,5.48,5.41,3.38
0.76,Premium,H,59.6,57,2792,5.91,5.86,3.51
0.81,Premium,I,61.9,60,2795,5.91,5.86,3.64
0.57,Ideal,F,61.9,55,2797,5.34,5.35,3.31
0.58,Ideal,E,60.9,56,2808,5.41,5.43,3.3
0.78,Very Good,I,61.4,56,2816,5.91,5.95,3.64
0.61,Ideal,G,60.1,57,2816,5.52,5.54,3.32
0.71,Ideal,I,60.2,56,2817,5.84,5.89,3.53
0.63,Ideal,F,61.5,56,2817,5.48,5.52,3.38
0.6,Ideal,F,62,55,2822,5.37,5.4,3.34
0.61,Ideal,E,61.3,54,2823,5.51,5.59,3.4
0.77,Ideal,I,62.1,57,2824,5.84,5.86,3.63
0.79,Premium,H,62.6,58,2827,5.96,5.9,3.71
0.71,Premium,G,62.1,57,2832,5.75,5.65,3.54
0.61,Ideal,F,61.7,55,2833,5.45,5.48,3.37
0.63,Ideal,F,61.9,57,2835,5.47,5.51,3.4
0.71,Premium,G,60.3,58,2839,5.82,5.78,3.5
0.73,Ideal,G,61.3,57,2843,5.81,5.84,3.57
0.71,Ideal,G,60.7,57,2843,5.81,5.78,3.52
0.73,Ideal,H,61.6,56,2846,5.79,5.84,3.58
0.7,Very Good,G,62.9,59,2848,5.61,5.68,3.55
0.54,Ideal,D,61.5,55,2848,5.25,5.29,3.24
0.68,Premium,F,61.7,57,2854,5.67,5.64,3.49
0.6,Ideal,F,60.8,57,2856,5.44,5.49,3.32
0.7,Good,E,60.1,63,2857,5.68,5.71,3.42
0.7,Ideal,G,62.1,56,2858,5.63,5.71,3.52
0.7,Good,E,63.6,62,2858,5.61,5.58,3.56
0.6,Ideal,E,61.9,54.9,2860,5.41,5.44,3.35
0.62,Ideal,G,61.6,56,2861,5.45,5.48,3.37
0.62,Ideal,G,61.6,56,2861,5.48,5.51,3.38
0.71,Premium,H,61.5,62,2863,5.74,5.68,3.51
0.73,Ideal,G,61.3,57,2869,5.84,5.81,3.57
0.72,Ideal,H,60.9,57,2869,5.79,5.77,3.52
0.52,Premium,F,61.8,60,2870,5.16,5.13,3.18
0.64,Premium,E,62.1,58,2870,5.56,5.51,3.44
0.7,Premium,G,61.8,58,2874,5.67,5.63,3.49
0.7,Premium,G,62.9,59,2874,5.68,5.61,3.55
0.72,Very Good,G,62.5,58,2889,5.68,5.72,3.56
0.5,Ideal,E,62.2,54,2889,5.08,5.12,3.17
0.5,Ideal,E,62.2,54,2889,5.09,5.11,3.17
0.71,Ideal,G,61.5,57,2893,5.73,5.75,3.53
0.7,Ideal,G,62.1,53,2895,5.71,5.75,3.56
0.6,Very Good,D,60.6,57,2897,5.48,5.51,3.33
0.54,Ideal,D,61.4,52,2897,5.3,5.34,3.26
0.62,Ideal,E,62,56,2904,5.48,5.52,3.41
0.7,Very Good,G,59.3,62,2905,5.78,5.82,3.44
0.7,Very Good,G,63.4,59,2905,5.62,5.64,3.57
0.7,Very Good,G,63.3,59,2905,5.59,5.62,3.55
0.61,Ideal,E,62.4,53.9,2907,5.42,5.43,3.38
0.61,Ideal,E,62.4,53.6,2907,5.42,5.45,3.39
0.61,Ideal,E,62.1,54.2,2907,5.43,5.45,3.38
0.59,Ideal,E,61.1,57,2911,5.39,5.41,3.3
0.73,Premium,G,62.2,56,2919,5.79,5.75,3.59
0.73,Ideal,G,61.9,55,2919,5.83,5.77,3.59
0.74,Very Good,H,60.5,60,2921,5.79,5.81,3.51
0.65,Ideal,F,61.3,56,2921,5.58,5.61,3.43
0.7,Very Good,G,60.8,57,2931,5.72,5.76,3.49
0.7,Premium,F,61,57,2932,5.8,5.71,3.51
0.7,Very Good,F,63.2,58,2932,5.66,5.6,3.56
0.72,Very Good,G,62.2,57,2933,5.67,5.72,3.54
0.59,Very Good,D,60.6,59,2933,5.44,5.49,3.31
