"ESV","pctMatch","Identifier","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ESV_000001",100,"MW930396","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"MW802571","Eukaryota","Chordata","Mammalia","Artiodactyla","Cervidae","Megaloceros","Megaloceros sp. Ari4"
"ESV_000001",100,"MW802566","Eukaryota","Chordata","Mammalia","Artiodactyla","Cervidae","Megaloceros","Megaloceros sp. Ari5"
"ESV_000001",100,"MN687315","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"MN687314","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"MT217036","Eukaryota","Chordata","Lepidosauria","Squamata","Gekkonidae","Cnemaspis","Cnemaspis nilagirica"
"ESV_000001",100,"MK248303","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"MN503402","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"MK059645","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"MK059607","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"MK059602","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"MH588620","Eukaryota","Chordata","Mammalia","Carnivora","Felidae","Panthera","Panthera pardus"
"ESV_000001",100,"MH588617","Eukaryota","Chordata","Mammalia","Carnivora","Felidae","Panthera","Panthera pardus"
"ESV_000001",100,"MF523047","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"MF056756","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"KY408277","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"KT725956","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"AY195771","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"GU733822","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"GU733801","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"HM852876","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"HM852786","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"GU592041","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"KF450930","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"KJ445984","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"KF162529","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"KF162515","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"KF162424","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"KF162408","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"KF162342","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"KF162319","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"KF162245","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"KF162227","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"KF162222","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"KF161936","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"KF161880","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"KF161685","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"KF161466","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"KF161462","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"KF161315","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"KF161314","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"KF161296","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"KF161258","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"KF161185","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"KF161181","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"KF161171","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"KF161149","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"KF161131","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"KC345786","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"HM246156","Eukaryota","Arthropoda","Insecta","Thysanoptera","Thripidae","Taeniothrips","Taeniothrips sp. 1 YF-2010"
"ESV_000001",100,"MW991397","Eukaryota","Chordata","Mammalia","Carnivora","Ursidae","Ursus","Ursus arctos"
"ESV_000001",100,"HM246155","Eukaryota","Arthropoda","Insecta","Thysanoptera","Thripidae","Thrips","Thrips sp. 3 YF-2010"
"ESV_000001",100,"HM246154","Eukaryota","Arthropoda","Insecta","Thysanoptera","Thripidae","Thrips","Thrips sp. 2 YF-2010"
"ESV_000001",100,"ON597783","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"HM246152","Eukaryota","Arthropoda","Insecta","Thysanoptera","Thripidae","Thrips","Thrips alliorum"
"ESV_000001",100,"HM246153","Eukaryota","Arthropoda","Insecta","Thysanoptera","Thripidae","Thrips","Thrips sp. 1 YF-2010"
"ESV_000001",100,"MW991398","Eukaryota","Chordata","Mammalia","Carnivora","Ursidae","Ursus","Ursus arctos"
"ESV_000001",100,"KM978387","Eukaryota","Arthropoda","Collembola","Entomobryomorpha","Paronellidae","Akabosia","Akabosia matsudoensis"
"ESV_000001",100,"HM246151","Eukaryota","Arthropoda","Insecta","Thysanoptera","Thripidae","Echinothrips","Echinothrips americanus"
"ESV_000001",100,"HM246157","Eukaryota","Arthropoda","Insecta","Thysanoptera","Thripidae","Taeniothrips","Taeniothrips sp. 2 YF-2010"
"ESV_000001",100,"JX025217","Eukaryota","Arthropoda","Malacostraca","Decapoda","Palaemonidae","Crinotonia","Crinotonia attenuatus"
"ESV_000001",100,"KX356504","Eukaryota","Arthropoda","Insecta","Hemiptera","Achilidae","Caristianus","Caristianus maolanensis"
"ESV_000001",100,"JF339209","Eukaryota","Evosea","Eumycetozoa","Physariida","Didymiaceae","Diderma","Diderma crustaceum"
"ESV_000001",100,"OQ318931","Eukaryota","Chordata","Mammalia","Carnivora","Ursidae","Ursus","Ursus americanus"
"ESV_000001",100,"OQ318929","Eukaryota","Chordata","Mammalia","Carnivora","Ursidae","Ursus","Ursus americanus"
"ESV_000001",100,"KR013194","Eukaryota","Evosea","Eumycetozoa","Stemonitida","Stemonitidae","Diachea","Diachea leucopodia"
"ESV_000001",100,"OM743399","Eukaryota","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"ESV_000001",100,"OQ318966","Eukaryota","Chordata","Mammalia","Carnivora","Ursidae","Ursus","Ursus arctos"
"ESV_000001",100,"JF339205","Eukaryota","Evosea","Eumycetozoa","Physariida","Physaraceae","Fuligo","Fuligo septica"
"ESV_000001",100,"JF339204","Eukaryota","Evosea","Eumycetozoa","unk_order","Ceratiomyxaceae","Ceratiomyxa","Ceratiomyxa fruticulosa"
"ESV_000001",100,"OP964096","Eukaryota","Mollusca","Gastropoda","Littorinimorpha","Atlantidae","Atlanta","Atlanta turriculata"
"ESV_000001",100,"OP964122","Eukaryota","Mollusca","Gastropoda","Littorinimorpha","Atlantidae","Atlanta","Atlanta sp."
"ESV_000001",100,"MH043585","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"KF162400","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_000001",100,"JF339210","Eukaryota","Evosea","Eumycetozoa","Physariida","Physaraceae","Craterium","Craterium leucocephalum"
"ESV_000002",100,"MG677870","Eukaryota","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Euphausia","Euphausia pacifica"
"ESV_000003",100,"GU226989","Eukaryota","Echinodermata","Echinoidea","Spatangoida","Schizasteridae","Abatus","Abatus nimrodi"
"ESV_000003",100,"GU226991","Eukaryota","Echinodermata","Echinoidea","Spatangoida","Schizasteridae","Abatus","Abatus shackletoni"
"ESV_000004",100,"MG677889","Eukaryota","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Thysanoessa","Thysanoessa inermis"
"ESV_000004",100,"MG677892","Eukaryota","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Thysanoessa","Thysanoessa raschii"
"ESV_000004",100,"MG677890","Eukaryota","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Thysanoessa","Thysanoessa longicaudata"
"ESV_000005",100,"NC_006927","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Megaptera","Megaptera novaeangliae"
